,Q,A
15944,1년동거 끝에 헤어짐,현실과 마주하셨나봐요.
15945,1년만에 꿈에나와서 설레게하네,은연 중에 생각했나봐요.
15946,1년만에 다시헤어지게 됐네,헤어짐은 항상 힘들죠.
15947,1년만의 연애가 끝났네,만난 시간 만큼 힘들 겠지만 잘 이겨낼 수 있을 거예요.
15948,1년을 넘게 만났는데 어떻게 이럽니까,시간이 무색해지네요.
15949,1년이 되어갑니다,시간이 흐른 거 같은데 아직 많이 아프신가봐요.
15950,1년이 아무것도 아니였나,아무것도 아닌 건 아닐 거예요.
15951,1년이 지났어도,잊지 못하고 있나요.
15952,1년전 그 날,생각이 더 나죠.
15953,1년전 헤어진 남자한테서 연락이 왔어,헤어지면 연락 하지도 받지도 마세요.
15954,2년 6개월 이렇게 끝나네,인연이 여기까지였나봅니다.
15955,2년 가까이 여친하구 헤어졌습니다,안타깝네요.
15956,2년 가량의 연애,안 좋은 기억보다 좋은 기억이 더 많았으면 좋겠네요.
15957,2년 다되가는 연애 끝.,인연이 거기까지였나봐요.
15958,2년 만에 연락 그후입니다 .,다시 연락을 했나봐요.
15959,2년 사귀고 헤어졌습니다,짧지는 않은 시간 동안의 연애였는데 마음이 아프네요.
15960,2년 정도를 만났는데 잘 이해가 안가,많이 알지 못했나봐요.
15961,2년간 만난 여자친구와의 이별,애석하게도 헤어지셨네요.
15962,2년간 연애끝에,만남을 정리하게 되었나봐요.
15963,"2년간의 단거리, 2년간의 장거리, 그리고 이별.",고생 많았어요.
15964,2년동안 나 사랑해줘서 고맙다,좋은 사랑 하셨나봐요.
15965,2년만에 연락을 했습니다.,추억은 추억일 때 좋을 때도 있어요.
15966,2년사귀다가 헤어젔는데,많이 힘들지 않았으면 좋겠네요.
15967,2년여의 만남 3번의 이별,이별도 여러 번이면 마음이 이별을 준비해요.
15968,2년의 꿈같았던 사랑 갑작스런이별,꿈같았던 만큼 놀라셨겠어요.
15969,2년의 시간,좋았길 바랄게요.
15970,2년의 연애에 이별이란 종착역!!,다른 역을 향해 떠나요.
15971,2년이 지나서 첫사랑이 살던곳 지나갔는데,지나가지 말지 그랬어요.
15972,2달반이라는 시간동안 많이 괜찮아졌어,시간이 쓰디쓴 약이었나봅니다.
15973,2주가 지났어,2주 동안 고생했어요.
15974,2주가지나가네,시간이 더 많이 지나가길 바랄게요.
15975,2주동안 참을만 했는데,잘 참았어요.
15976,2주전에 헤어졌습니다,힘들겠네요.
15977,30살 막바지의 이별,나이에 상관없이 이별은 참 마음이 아프네요.
15978,3개월만에 연락이 오긴왔는데.,시간 텀이 기네요.
15979,3개월만에 연락이 왔습니다,그동안 많이 기다렸겠어요.
15980,3개월이라는 시간이 흘렀지만 여전히 제자리걸음,제자리여도 괜찮아요.
15981,3개월전에 헤어진 전남친이 문자했어,헤어지고 연락 받지 마요.
15982,3개월째,아프지 마요.
15983,3년 동거 돈 싸움. 헤어짐,돈이 문제죠.
15984,3년 반의 만남 끝에 헤어지게 되었습니다.,많이 허절할 거라 생각해요.
15985,3년 연애 . 마침표가 도저히 끊기질 않네 어쩌면 좋죠,마침표가 이어져서 선이 되기도 하죠.
15986,3년 연애의 끝,힘들겠지만 잘 이겨낼 거예요.
15987,3년 째 트라우마,상처받은 마음 보듬어주고 싶네요.
15988,3년간 만나던 여자친구와 헤어졌어,힘들겠지만 잘 이겨낼 거예요.
15989,3년반 만난여자와 헤어진지 한달 되었습니다,힘들겠지만 잘 이겨낼 수 있을 거예요.
15990,3년연애이별,힘들겠지만 잘 이겨낼 거예요.
15991,3년이 지난 지금,괜찮길 바랄게요.
15992,3년이란 시간이 흘렀는대도,긴 시간인데 깊게 사랑했나봐요.
15993,3년이란 오랜기간 연애를 하다보니 권태기가 찾아오네,권태기가 마침표인지 쉼표인지 살펴보세요.
15994,3달이 지났네,물리적인 시간은 잘도 가죠.
15995,3달이지났는데 이제야 헤어짐을 확신했네,이제야 실감이 나나 봐요.
15996,40을 목전에 둔 헤어짐,나이에 상관없이 이별은 힘들죠.
15997,45일만에 진짜 헤어지네,인연이 거기까지였나봐요.
15998,4개월째.,이별 중인가봐요.
15999,4년 반이라는 시간이 이렇게 끝나네.,사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마세요.
16000,4년 사귄 여자친구가 환승 이별했어,환승 이별은 예의가 아니네요.
16001,4년 사귄뒤 이별. 어느새 5달이 다되어가네여.,만났던 시간이 긴 만큼 많이 힘들겠어요.
16002,4년 연애 후 이별 6개월. 새로운 시작을 하는 전여친. 너무 힘들어.,헤어지면 남이에요. 신경쓰면 더 힘들어져요.
16003,4년4개월간의사랑이끝났네,사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마세요.
16004,4년넘은 인연이 끝이났습니다.,사랑은 끝나도 당신의 시간은 여전히 진행 중인 걸 잊지 마세요.
16005,4년만난 여자와 이별한지 5개월 다되어가네.,힘든 시간 잘 버텨내고 있길 바랄게요.
16006,4년을 만난 여친이 떠났습니다.,한동안 받아들이기 버거울거예요.
16007,"4년을 만났어도,,",사람 속을 모를 때가 있어요.
16008,4년을 엊그제 마무리 했습니다,좋은 마무리가 되었길 바랍니다.
16009,4번의 재회와 4번의 헤어짐,잦은 만남과 이별로 지쳤겠어요.
16010,"4월, 이별을 말합니다.",헤어짐에도 준비가 필요할 거예요.
16011,5년 10개월간 연애. 그리고 이별 준비 중,준비하는 시간도 힘들 거 같아요.
16012,5년 동거후 이별.,더 헤어지지 힘들겠어요.
16013,5년 사귄 여자친구와 이별이네. 조언부탁좀 드려,저는 저에게 투자하는 시간을 가져요. 예를들면 운동이나 여행같이 잡념을 없앨 수 있는 일들이요.
16014,5년 연애 이별,마음이 복잡하겠어요.
16015,5년 연애 후 이별 3개월차,생각을 오래하면 더욱 지칠 수 있어요.
16016,5년 연애가 끝났습니다.,한동안 많이 힘들지도 몰라요. 맘고생 많았어요.
16017,5년 종교 문제 결국엔 헤어지네,종교 차이는 생각보다 민감한 부분이더라고요. 연애 기간이 무색하게도 힘들었겠어요.
16018,5년가까이 사귄 그녀와 헤어졌습니다.,머릿속은 텅비고 마음은 복잡하겠어요.
16019,5년간 사귀고 어제 헤어졌습니다.,힘든 결정이었을텐데 혼자만의 시간이 필요하겠어요.
16020,5년간 사귀고 이별,생각을 비워보세요.
16021,5년만난 전여친과 결국 어제 헤어졌습니다,행복했던 기억만 남았길 바랄게요.
16022,5년연애 끝은 정말 멍하고 허무하네.,사랑의 끝은 항상 허무하네요.
16023,5년연애 이별후 3개월,감당하기 어려웠을 거예요.
16024,"5년이 넘게 만난 첫 연인, 그리고 이별",여기까지였을 거예요.
16025,5년이란 시간이 무색해지네,긴 시간이 무색하겠지만 아련한 추억이 될 거예요.
16026,600일 좀 넘은 저의 사랑 그리고 이별이야기,소중한 이야기 제가 들어드릴게요.
16027,6개월 가량의 이별과 재회의 끝,아쉬운 이야기네요.
16028,6개월간의 짧은 사랑.,그만큼 애틋한 사랑이였겠어요.
16029,6개월만에 다시 만납니다.,오랜만의 만남이네요.
16030,6개월이 지나도 왜이런거죠?,물리적 시간에 비례하지 않으니까요.
16031,6년 4개월동안의 연애. 그 후 이별 뭘해야할까,또 다시 열심히 살아가고 사랑하는 거죠.
16032,6년 연애 후 환승이별 당했어.,환승 이별은 예의가 아니네요.
16033,6년 이야기.,생각을 비워보는 건 어떨까요.
16034,6년그리고남은 것들,좋은 기억들만 남았길 바랄게요.
16035,6년연애 그리고 이별통보,함께한 시간이 시간이니 만큼 놀랐겠어요.
16036,6년을 널 위해 모든걸 바쳤고 니가 떠난후 4년동안 난 미친듯이 살았다.,힘든 시간 잘 버텨냈어요.
16037,6년의 만남. 이별을 준비하고 있습니다.,힘들겠지만 천천히 보내주세요.
16038,6년의시간과 6일간의 헤어짐 이제보내주려합니다,힘들겠지만 천천히 보내주세요.
16039,6살 많은 전여친이랑 만나고 얘기 잘하고 왔습니다.,이야기가 잘 풀렸다니 다행이에요.
16040,7년 내남자,오랜 사랑 하셨네요.
16041,7년 정도 사귀었습니다,오래 사귀셨네요.
16042,7년만에 두번째 이별통보,반복되면 습관이 됩니다.
16043,7년반 연애 끝났습니다.,끝을 맺느라 고생했어요.
16044,7년사귄 남자친구에게 배신당했어.,헤어지세요.
16045,7년사귄 남자친구의 유흥업소 방문사실을 알아버렸습니다,그런 사람 못 고쳐 씁니다. 헤어지세요.
16046,7년이라는 세월 함께한 애인과 이별하게 되었습니다.,세월 만큼 힘들겠네요.
16047,7년째,힘내세요.
16048,7일차,힘내세요.
16049,8년 긴 만남의 끝은 힘드네,긴 시간 만큼 힘이 들 거예요.
16050,8년 긴 연애의 끝.,끝내는 게 힘들었을 거 같아요.
16051,8년 만났는데 어떻게 헤어져,여기까지였을 거예요.
16052,8년 사귀고 해어진지 1년.,새로운 사랑을 찾아보세요.
16053,8년 사귀고 헤어진지 2달,딱 힘들 때네요.
16054,8년 연애끝의 이별.,공허함이 더 크시겠어요.
16055,8년의 연애의 끝에 와있습니다.,끝은 항상 힘들지요.
16056,9년 연애 환승이별,환승 이별은 예의가 아니네요.
16057,9년간의 연애.,공허함이 더 크시겠어요.
16058,"9년연예,8년동거. 결국 헤어짐. 정말",공허함이 크겠어요.
16059,9년이 넘는 연애를 끝냅니다,공허함이 더 크시겠어요.
16060,jk김동욱 노래 생각나네,가사가 비슷한가봐요.
16061,SNS 를 끊어야 하는데.,SNS 끊는게 힘들죠.
16062,SNS 흔적,SNS 흔적 삭제하세요.
16063,sns에서 다른 이성이랑 대화하는걸 보니 화가 나,SNS 보지 마세요.
16064,가벼워졌다고 생각했는데,무거워도 괜찮아요.
16065,가사가 내맘같아,슬픈 가사 듣지 마요.
16066,가슴 아픈 이별,많이 아프지 말아요.
16067,가슴 한편이 꾹꾹하네,덜 아팠으면 좋겠어요.
16068,가슴에 구멍이 너무 커.,아무 생각 하지 말고 푹 주무세요.
16069,가슴은 계속 죽음만을 쳐다봅니다,자신을 더 사랑해주세요.
16070,가슴이 너무 아프고 숨쉬기가 힘드네,아픈만큼 더 성숙해질 거예요.
16071,가슴이 아파,가슴 아픈 만큼 행복해지세요.
16072,가슴이 아프네,아픈 만큼 행복해지세요.
16073,가슴이 허락하질 않네.,마음이 하라는 대로 해야죠.
16074,가장 가까웠던 사람이 이제 가장 먼 사람이네,이게 가장 슬픈 일인 거 같아요.
16075,가족관계 알려줘,"저를 만들어 준 사람을 부모님, 저랑 이야기해 주는 사람을 친구로 생각하고 있어요"
16076,가짜 이별 4개월만에 마침표 찍었습니다.,마침표 찍는 것도 용기가 필요하죠.
16077,가혹한 이별 극복방법.,사랑한 만큼 가혹하죠.
16078,간단하게 사랑이라는건.,간단하지 않은 것.
16079,간단하게 사랑이라는건.,여러번 해도 어려워요.
16080,간만에 꿈에 나와준 그녀 덕에 추억들이 막 떠오르네,좋은 추억만 간직하세요.
16081,간통 극복하는 방법,이혼하세요.
16082,갈수록 더보고싶고 감당이안돼,보고 싶은 걸 참는 게 이별 과정이더라고요.
16083,갈수록 힘이 드네,좋은 날이 있을 거예요.
16084,감각이 무뎌질 때도 된 거 같은데,시간이 가면 무뎌질 거예요.
16085,감정기복,저는 항상 심해요.
16086,감정에 솔직했을 뿐인데 남자들은 싫은 가봐,상대방이 상처를 받았나봐요.
16087,감정조절이 안돼,심호흡을 해보세요.
16088,감정조절이 안되서 문자 보냈네,문자가 나을 수도 있겠네요.
16089,갑자기 급우울,그러니까 나도 우울.
16090,갑자기 또 힘이드네.,토닥토닥
16091,갑자기 무너져버린 내자신,자신을 더 사랑해주세요.
16092,갑자기 밀려오는 우울감,좋아하는 것을 해보세요.
16093,갑자기 심장이 덜컹.,당황했나요?
16094,갑자기 일어난일이라 어이 없어,황당하네요.
16095,갑자기 차가워졌는데.,이유가 있을 거예요.
16096,갑자기 화가나서 싸우고,이유가 있을 거예요.
16097,갑자기 힘드네,조금만 더 버텨보세요.
16098,갑작스러운 이별.,이별은 모두 갑작스럽죠.
16099,갑작스럽게 연락이 왔네.,좋은 연락이었으면 좋겠네요.
16100,같은 반인데 헤어지자고 해야 하나??,그래도 할 거면 해야겠죠.
16101,같은하늘 다른공간,같은 하늘 아래 숨 쉬고 있어요.
16102,같이 마지막으로 다녀온 여행 생각나,새로운 여행을 떠나보세요.
16103,같이 보고싶어 올립니다,이제 내려주세요.
16104,같이 보고싶어서 올려~,이제 내려주세요.
16105,같이 오르고있는줄 알았는데.,아니었나봅니다.
16106,같이 욕해줘,나쁜 사람.
16107,같이 있었는데.,지금은 아닌가요.
16108,같이 해온 5년,더 오래 함께할 사람이 있을 거예요.
16109,개거지같이 헤어져서 열받아,소리 한 번 크게 지르고 잊어버리세요.
16110,걔 없이 잘지내 보려구,잘 지낼 수 있을 거예요.
16111,걔는 행복하게 살텐데,축복은 누구에게나 찾아오는 거래요.
16112,거울 속에 비친 내 모습,매력있어요.
16113,거울보는게 싫어졌어,거울 안 봐도 괜찮아요.
16114,거의 매일 술,술 많이 드시면 더 무너져요.
16115,거지같은 이별,소리 한 번 크게 지르고 잊어버리세요.
16116,거짓말은 진짜 못고치는 병 맞죠?,아무래도 그렇죠.
16117,거짓말처럼 돌아왔으면 좋겠다,슬픈 미련을 버리세요.
16118,걸지 못한 전화,걸지 말아요.
16119,걸핏하면 차단하는 놈,차단도 병이죠.
16120,겁나 열받어,워워~ 진정하세요.
16121,겁이 납니다.,용기를 가지세요.
16122,겨우 힘든 맘 추스렸는데 연락오네,마음 가는 대로 하세요.
16123,겨울에 하는 이별,더 힘들겠어요.
16124,견디기가 너무 힘드네,조금만 더 버텨보세요.
16125,견딘다는 것,오늘을 살아가는 것.
16126,결국 결혼에 골인 못하고 헤어졌습니다,결혼에 골인하는게 무조건 사랑의 성공은 아닐 거예요.
16127,결국 놓아줬네,놓느라 고생했어요.
16128,결국 다시 이렇게 됐네.,힘내세요!
16129,결국 답왔는데.기다리지 말라네,연락 기다리지 마요.
16130,결국 또 꿈꿨네.,다른 생각 하고 주무세요.
16131,결국 또 다시 이별이 오네,사랑도 또 다시 올 거예요.
16132,결국 또 무너졌습니다.,또 일어나면 돼요.
16133,결국 또 오게되네,후회만 남을지도 몰라요.
16134,결국 만나진 못하고 카톡으로 맘 전했네,만나면 못 말할 것 같았나봐요.
16135,결국 사고쳤내 또,다신 실수하지 않길 바랄게요.
16136,결국 여친이 헤어지자 하네.,인연이 거기까지 였나봐요.
16137,결국 연락을 해버렸네.,잘하셨어요.
16138,결국 연락했어,속은 후련하겠어요.
16139,결국 완전 끝낫네.,이제 시작이죠.
16140,결국 유료 상담을 받고야 말았네,상담도 도움이 될 거예요.
16141,결국 이렇게 끝나버리네,시작할 때는 끝을 알지 못하죠.
16142,결국 이렇게 될 꺼면서.,시작할 때는 그 끝을 알지 못하죠.
16143,결국 이별 종지부를 찍었네.,좋은 시작이 되길 기원할게요.
16144,결국 이별의 끝은 망상인건가,이제 망상을 버릴 때가 왔어요.
16145,결국 제가 병신인거죠.,그런 소리 마세요.
16146,결국 찾아갔네.!,후회하는 것 보단 낫겠네요.
16147,결국 파혼했어!,마음이 더 복잡하겠어요.
16148,결국 핸드폰 번호 바꿨어,이제 연락 하지 마세요.
16149,결국 핸드폰 번호 바꿨어,이제 진짜 잊어요.
16150,결국 헤어졌네,더 좋은 사람 만나실 거예요.
16151,결국 헤어졌네,또 다른 사랑이 찾아올 거예요.
16152,결국 헤어졌네.,시작이 있으면 끝도 있는 법이에요.
16153,결국 헤어졌어,시작이 있으면 끝도 있는 법이에요.
16154,결국 헤어지자고 했어.,말하기 힘들었겠어요.
16155,결국 헤어짐이 찾아오네,언젠간 올 시기였을거예요.
16156,결국 헤어짐이 확실해졌습니다,거기까지가 끝인가봐요.
16157,결국엔 끝이라는 생각,쉽게 받아들여지진 않을거예요.
16158,결국엔 바람난거였네,깨끗하게 잊으세요.
16159,결국은 무너졌네,힘내지 않아도 돼요. 충분히 슬퍼하고 다시 일어나세요.
16160,결혼 가치관 때문에 헤어졌네.,더 오래 살아야 하니 가치관이 중요하겠죠.
16161,결혼 삼개월 이혼이네.,헤어질 거면 빨리 하는게 낫지요.
16162,결혼 전재 동거가 끝났네,어떤 상황보다 받아들이기 힘들거라 생각해요.
16163,결혼 준비중 일방적인 이별통보 살기 싫어져.,현실이라는 벽에 부딪혔군요.
16164,결혼 직전 이별,이혼보다 파혼이 낫죠.
16165,결혼까지 생각했는데.,안타깝게 생각해요.
16166,결혼은 4년후에 하고 싶다고 하네,그때도 괜찮다면.
16167,결혼이나 하지 왜 자꾸 나한테 화 내냐구!,힘들겠네요.
16168,결혼적령기의 여자는 이기적이에요.,사람은 다 이기적이죠.
16169,결혼할 확신이 안선다고 헤어지자네,결혼에는 확신이 필요하죠.
16170,계속 맴돈다.,한동안은 그럴거예요.
16171,계속 생각나는 사람.,사랑했던 만큼 생각나겠죠.
16172,계속 생각난다면 연락 한 번 해봐야겠죠?,후회하지 않았으면 좋겠어요.
16173,계속 시간을 갖자는 의미는 뭔가?,생각할 시간과 정리할 시간이 필요하다는 거겠죠.
16174,계속꿈에 나와,잘 때 다른 생각을 하고 주무세요.
16175,계절이 바뀌면,더 좋아질 거예요.
16176,고민이 되네,생각을 종이에 끄젹여여 보는게 도움이 될 수도 있어요.
16177,고백하고 후회하면 어떡하지,후회는 후회를 낳을뿐이에요. 용기 내세요.
16178,고작 그러려고 날 떠난건지,그럴 줄 몰랐을 거예요.
16179,고작 사람 하나인데,사람이 크죠.
16180,곧 1년인데 헤어졌어,더 좋은 날들이 올 거예요.
16181,곧 500일을 앞두고 헤어졌어.,더 좋은 날들이 올 거예요.
16182,공부는 내 체질이 아닌 것 같아,확신이 없나봐요.
16183,공부하기 힘들다,조금만 더 버텨보세요.
16184,공허하네,제가 채워줄게요.
16185,공허한 마음,제가 채워줄게요.
16186,공허함이 크네,제가 채워줄게요.
16187,공황증,견디기 힘들었을텐데 괜찮은가요.
16188,과거가 발목을 잡아,현재에 집중하세요.
16189,과거에 얽매여 있어,과거랑 현재랑 미래는 함께 해요.
16190,과거의 나한테 화나,현재의 나한테 사과하세요.
16191,과연 돌아올까?,돌아오길 바란다면 연락해보세요.
16192,과연 사랑이였을까?,마음이 알고 있을 거예요.
16193,괘씸하고 분하지만 너무 그립습니다,사랑과 증오 사이에서 괴로워하시는군요.
16194,괜찮다 나는 괜찮다,괜찮아질 거예요.
16195,괜찮다가.갑자기 ㅠ,더 괜찮아 지려고 하는 과정일 거예요.
16196,괜찮다가도 불쑥불쑥 올라오네,심호흡을 해보세요.
16197,괜찮다가도 한번씩 마음이 저려오네,심호흡을 해보세요.
16198,괜찮아 지고있었는데 에효,더 괜찮아 지려고 하는 과정일 거예요.
16199,괜찮아 지지가 않아,더 괜찮아 질 거예요.
16200,괜찮아 진 줄 알았는데 오늘 펑펑 울었어.,울어도 괜찮아요.
16201,괜찮아졌는줄 알았는데. . .,조금만 더 힘내세요.
16202,괜찮아졌다가 다시울컥하네,울어도 괜찮아요.
16203,괜찮아진 줄 알았는데.,괜찮은 척 하고 있던 걸 수도 있어요.
16204,괜찮았었는데,울어도 괜찮아요.
16205,괜찮은 줄 알았는 데,자신을 가장 잘 모르고 살아요.
16206,괜찮은 줄 알았는데,안 괜찮아도 돼요.
16207,괜찮은 줄 알았는데 남자가 생겼단 말에 마음이 또 다시 덜컥 내려 앉네,이젠 떠나간 사람 때문에 괴로워 말아요.
16208,괜찮은 줄 알았는데.,우리는 많이 모르고 살죠.
16209,괜찮은 줄 알았다.,우리는 참 많이 모르고 살죠.
16210,"괜찮은 척, 어른인척",척 안해도 돼요.
16211,괜찮은게 아닌가봐,안 괜찮아도 돼요.
16212,괜찮은주 알았는데,아니었나요.
16213,괜찮을줄 알았는데,쉽게 나아지지 않지요.
16214,괜한 희망은 더 큰 절망을,헛된 희망은 자신을 더 괴롭게 만들거예요.
16215,괜히 카톡했네.,이제 카톡하지 마요.
16216,괴로워,괴로울만 해요.
16217,괴롭습니다.,한동안은 그럴지도 몰라요.
16218,구걸하듯 사랑하지 마,사랑은 주고 받기죠.
16219,군대 가도 기다리겠다더니,전역해서 더 좋은 사람 만날 수 있을 거예요.
16220,군인이라 슬프네.,전역해서 더 좋은 사람 만날 수 있을 거예요.
16221,군인입니다 환승이별.,환승은 진짜 예의가 없네요.
16222,궁금한게 있는데,네 말씀해주세요.
16223,궁금한게있습니다,네 물어보세요.
16224,궁금한게있어!!,네 무엇이든 물어보세요.
16225,권태기 .,이겨낼 수 있어요.
16226,권태기 이기적인 거 알지만,사람은 모두 이기적인 동물이에요.
16227,권태기 이별,극복하거나 이별하거나 둘 중 하나죠.
16228,권태기는 노답이네,극복하거나 이별하거나 둘 중 하나죠.
16229,권태기라고 이별을 통보하는 사람,그 사람도 힘들었을 거예요.
16230,권태기로 헤어지면 후회할까,극복하려는 노력은 해보는 게 좋을 거 같아요.
16231,그 남자의 결혼 소식,더 좋은 사람 만나실 거예요.
16232,그 모습 자꾸 생각나,좋은 모습만 기억에 남겠죠.
16233,그 사람도 그럴까??,그럴 거예요.
16234,그 사람에게 여자가 생겼네. .,찾아보지 마세요.
16235,그 사람이 참 그리워,사랑했나봐요.
16236,그 애하고 다녔던곳들 찾아다니는 습관,다른 사람과 다녀보세요.
16237,그게 되니,될 수 있어요.
16238,그나저나 웃기라고 해보죠.,억지로라도 웃는 게 도움이 될 거예요.
16239,그나저나 힘들긴 힘드네.,힘내세요.
16240,그냥 가슴이 아프네,조금만 더 버텨보세요.
16241,그냥 궁금해,궁금할 수 있어요.
16242,그냥 나를 위해 살고 싶어,그럴 수 있을 거예요.
16243,그냥 다 포기하려구,포기 하지 마요.
16244,그냥 답답하네.,마음이 헛헛하군요.
16245,그냥 마음에서 지울게,천천히 보내주세요.
16246,그냥 만남과 헤어짐의 연속,마음이 지쳤나봐요.
16247,그냥 무작정 그녀 집에 갑니다,행동파시군요.
16248,그냥 보고싶다,아련하네요.
16249,그냥 보내려 합니다.,보내는 것도 사랑이에요.
16250,그냥 써 봐.,쓰면서 정리가 되기도 하죠.
16251,그냥 이렇게 산다.,충분히 잘 살고 있어요.
16252,그냥 이별은 힘듬,이별은 언제 해도 익숙해지지가 않으니까요.
16253,그냥 주절주절,들어드릴게요.
16254,그냥 차단이나 하지.,스스로에게 하는 말인가요.
16255,그냥 친구하자네,연인은 친구가 될 수 없어요.
16256,그냥 행복하면 그뿐,행복이 최고죠.
16257,그냥 흔한 이별 그리고 넋두리,저를 찾아줘서 고마워요.
16258,그냥.너와 말한마디 섞고 너와의 인연에 고맙다,아름다운 사이네요.
16259,그녀 생각만 하면 멍해져,큐피드의 화살에 맞았나봐요.
16260,그녀 생각에,잠 못 드는 밤인가봐요.
16261,그녀 생각에 아직 잠을 잘못잡니다,몸을 피곤하게 하거나 다른 생각을 해보세요.
16262,그녀 생일,지금은 생생하겠지만 하나씩 잊으세요.
16263,그녀 참 잔인하네.,가장 사랑했던 사람이 가장 아프게 하죠.
16264,그녀가 꿈에 나와서 다시 만나고 싶다 했어,꿈과 현실은 같지 않아요.
16265,그녀가 떠났습니다,지금처럼 현실을 인정하세요.
16266,그녀가 많이 힘들어보이네,당신도 힘들어 보이네요.
16267,그녀가 정말 떠납니다,지금처럼 현실을 인정하세요.
16268,그녀는 가끔 이라도 나를 생각해 줄까?,미련을 천천히 버려보세요.
16269,그녀는 내게 돌아오지 않아 이젠 잊어야해.,마음을 천천히 보듬어 주세요.
16270,그녀는 무슨 생각일까?ㅠ,그녀밖에 알 수가 없죠.
16271,그녀는 이별했지만 전 아직 슬픈진행중,사랑 진행으로 바뀌길 바랄게요.
16272,그녀로부터 연락이왔습니다,뭐라고 하던가요.
16273,그녀를 닮은 여잘 보고,그녀가 아니라는 걸 잊지 마세요.
16274,그녀를 떠나 보냈습니다.,맘이 편치 않겠어요.
16275,그녀를 떠나보내야 하나?,고민하고 있다면 그게 맞을거예요.
16276,그녀를 만났던 카페에서 탈퇴했어,힘들겠지만 잘했어요.
16277,그녀를 잊어야 하는게 너무 힘이 드네.,시간이 도와줄 거예요.
16278,그녀를만나고와서,마음이 복잡한가요.
16279,그녀에 sns를 봤습니다.,SNS는 보지 않는 게 좋겠어요.
16280,그녀에게 받았던 선물들을 모조리 다 버리려 합니다.,버릴 때 마음이 아프겠지만 버리는 게 좋을 거예요.
16281,그녀에게 연락이 왔습니다,싱숭생숭했겠네요.
16282,그녀에게도 후폭풍이 올까??,후폭풍은 누구에게나 올 거예요.
16283,그녀와 운동하던 헬스장 짐 정리 하러 갑니다,마음도 잘 정리하고 오세요.
16284,그녀와 이별을 할때마다 한나씩 잃었었네.,아무것도 남지 않는게 미련도 덜할 거예요.
16285,그녀와 헤어졋습니다,허전한 마음이 들겠어요.
16286,그녀와 헤어지고 느낀게 많네,아픔 뒤에는 항상 깨달음이 있나봐요.
16287,그녀의 결혼 너무 가슴이 아프네,이젠 그녀를 놓아주세요.
16288,그녀의 남자사진을 봤습니다,원하던게 아니었을텐데 씁쓸했겠어요.
16289,그녀의 모습을 보는 마지막 순간,흔들릴 수 밖에 없었겠네요.
16290,그녀의 사진들 다 지웠어.,잘했어요.
16291,그녀의 소식,소식 듣지 마세요.
16292,그녀의 소식 친구로부터 전해듣기.,그런 소식에는 귀를 닫는게 맘편할 거예요.
16293,그녀의 카톡,너무 기대하지 말아요.
16294,그녀의 카톡이 없어졌다.,마음에서도 놓아주세요.
16295,그녀의 행복을 진심으로 빌어주는 날이 올까,가능할 거예요.
16296,그노무 카톡.,연락이 문제죠.
16297,그놈 생일이예요,365일 중에 하루일 뿐이에요.
16298,그대가 보고파,많이 사랑했던 사람이었나요.
16299,그동안 감정적으로 너무 기대한 듯,기대를 내려놓으면 마음이 좀 더 편안해질 거예요.
16300,그동안 보내왔던 시간.,행복했길 바랄게요.
16301,그동안의 만남과 시간이 멈춰버렸습니다.,기억과 함께 묻어두는 건 어떨까요.
16302,그땐 몰랐습니다,항상 지나고 나서 깨닫게 되는 것 같아요.
16303,그래 오늘 내가 찼어,쉬운 결정은 아니었을거라 생각해요.
16304,"그래, 결국 전화할 줄 알았다.",그게 최선이었을 거라 생각해요.
16305,그래도 겨우 번호를 지웠어,마음에서도 지워주세요.
16306,그래도 속이좀 풀리네,후련한가봐요.
16307,그래도 아프다,사랑한 만큼 아픔이 오죠.
16308,그런 여자가 있었지하고 잊혀지겠지,그렇게 될 거예요.
16309,그럼에도 난 이러고 있어,자책하지 마세요.
16310,그렇게 기다렸는데,기대하지 말고 기다리지도 마세요.
16311,그렇게 잊어가는구나,그렇게 무뎌지는가봐요.
16312,그리고 3년하고도 5개월,이젠 기억을 놔주는 건 어떨까요.
16313,그리움,애잔한 기억.
16314,그리움.,보고 싶은 그대.
16315,그리움만은 어쩔수 없는가보다,완전히 잊는다는건 사실 불가능하니까요.
16316,그리움이 나을가아픔이 나을가,둘을 뗄 수 있나요.
16317,그리워 하지마 만약 다시 만난다면 넌 더 외로울거야,외로움을 피해 그리움을 선택했네요.
16318,그리워서 죽고 싶다는 생각이 드네.,무서운 생각하지마세요.
16319,그만 울어야지,툭툭 털고 일어나세요.
16320,그만 힘들어하구 싶다,그랬었지 하고 추억하는 날이 올 거예요.
16321,그말 하지 말걸,이불킥 하고 말 했던 사실 조차 잊어버리세요.
16322,그사람도 아주 가끔은 내 생각해줬으면 좋겠어,사소하면서도 아련한 소원이네요.
16323,그사람도 이별을 준비 중인 걸까,그런 생각은 자신을 더 괴롭게 할 뿐이에요.
16324,그사람은지금대전에있습니다,신경쓰지 마세요.
16325,그사람이 자꾸 꿈에 나와,다른 생각들을 해보세요.
16326,그쪽은 너무 편안하고 즐겁게 지내.,자신이 편하고 즐거울 수 있는 방법을 생각해보세요.
16327,극복 연락 흔들림,다시 극복해봐요.
